iter	Logloss
0	0.6855737323
1	0.6776493386
2	0.670406701
3	0.6637039802
4	0.6572517594
5	0.6506089487
6	0.6450762557
7	0.6397908493
8	0.6343817916
9	0.629651068
10	0.6248835474
11	0.6201091453
12	0.6161818825
13	0.6117392593
14	0.6076978439
15	0.6036370272
16	0.5999702024
17	0.5967958417
18	0.5930853515
19	0.5897706206
20	0.5867954753
21	0.5838195277
22	0.5809991099
23	0.5784266798
24	0.5759912456
25	0.5736496903
26	0.5712880051
27	0.5693602396
28	0.5672013926
29	0.5650079583
30	0.5630592852
31	0.5610683408
32	0.5592355073
33	0.557775669
34	0.5562707953
35	0.5544406159
36	0.5530361502
37	0.5515717232
38	0.5501286719
39	0.5489144279
40	0.5476271911
41	0.5465947433
42	0.5453369285
43	0.5439297063
44	0.542850085
45	0.5414624616
46	0.5401515691
47	0.5392220449
48	0.5381899341
49	0.537128476
50	0.5360751795
51	0.5352601818
52	0.5345400834
53	0.5337657254
54	0.5330351802
55	0.5323614311
56	0.5318382795
57	0.5310752277
58	0.5303664664
59	0.5297997608
60	0.5291765403
61	0.5285901546
62	0.5281116813
63	0.5272727909
64	0.5266508714
65	0.5262049491
66	0.5257413904
67	0.5253895622
68	0.5248868405
69	0.5244673072
70	0.5239903061
71	0.5235541668
72	0.5231930423
73	0.5228384549
74	0.5224550859
75	0.5220096875
76	0.5218006714
77	0.5214998956
78	0.521053884
79	0.5207437437
80	0.5203405698
81	0.519943374
82	0.5196865976
83	0.5193360365
84	0.5190415724
85	0.5186797688
86	0.5184230856
87	0.5180720656
88	0.5177792326
89	0.5174795681
90	0.5171260418
91	0.5168183006
92	0.5165730663
93	0.5163219394
94	0.5159956179
95	0.5158372002
96	0.5155550991
97	0.5153161758
98	0.5149617969
99	0.5146261447
100	0.5143055515
101	0.5141389785
102	0.5139445398
103	0.5136841082
104	0.5133703188
105	0.5130821767
106	0.5128424333
107	0.5126260906
108	0.512373352
109	0.5121439916
110	0.5118590196
111	0.5116884639
112	0.5115158578
113	0.5112902448
114	0.5110650854
115	0.5108216321
116	0.510590611
117	0.5103760507
118	0.5101021201
119	0.5099948504
120	0.5097554228
121	0.5096056275
122	0.5094206108
123	0.509233948
124	0.5090337433
125	0.5088730153
126	0.5086668464
127	0.5085023545
128	0.508384809
129	0.5082355942
130	0.5080559468
131	0.5078287759
132	0.5076482415
133	0.5075025836
134	0.507417017
135	0.5071974874
136	0.5069657683
137	0.50681428
138	0.5066400741
139	0.5065255224
140	0.5063286935
141	0.5061722264
142	0.5060355389
143	0.5058626369
144	0.5056210327
145	0.5054328733
146	0.5053709462
147	0.5052419917
148	0.5051216442
149	0.5050188815
150	0.5048023316
151	0.5045977791
152	0.5042991676
153	0.5041124504
154	0.5039158824
155	0.5037996117
156	0.5036333798
157	0.5034989694
158	0.5033835482
159	0.5032216894
160	0.50300681
161	0.502891041
162	0.5027049898
163	0.5026125979
164	0.5024813923
165	0.5022611278
166	0.5020933505
167	0.5019533467
168	0.5017611433
169	0.501677513
170	0.5014561504
171	0.5012699945
172	0.5010877878
173	0.5009305782
174	0.5008280866
175	0.500730003
176	0.500617228
177	0.5005046903
178	0.5003484695
179	0.5002597551
180	0.500114252
181	0.4998926276
182	0.4996933844
183	0.4995135906
184	0.4993921633
185	0.4992273803
186	0.4991372042
187	0.498947049
188	0.4988431454
189	0.4987744203
190	0.4986208277
191	0.498541466
192	0.4983974371
193	0.4982643185
194	0.498123047
195	0.4979547995
196	0.4978587006
197	0.4977511426
198	0.4976162483
199	0.4974736934
200	0.497285816
201	0.4971551015
202	0.4970143076
203	0.496894343
204	0.4967617966
205	0.4966310519
206	0.496427042
207	0.4963729575
208	0.4962834577
209	0.4961667639
210	0.4959721169
211	0.4958200412
212	0.4956951036
213	0.4956124377
214	0.495519025
215	0.4953955766
216	0.4952687926
217	0.4951051033
218	0.4948301481
219	0.494765328
220	0.4946466678
221	0.4945341521
222	0.4944119898
223	0.4943093426
224	0.4941654182
225	0.4939398611
226	0.4938333785
227	0.4936836306
228	0.4935269029
229	0.4933458035
230	0.4932822428
231	0.4931919129
232	0.4929705039
233	0.4928772445
234	0.4926925717
235	0.4924728361
236	0.4922528441
237	0.4921422176
238	0.4920172424
239	0.4919100186
240	0.4918172166
241	0.4916985794
242	0.4915856686
243	0.4914293523
244	0.4913042571
245	0.4911754559
246	0.4910055146
247	0.4908818233
248	0.4907809742
249	0.4906280819
250	0.4905135112
251	0.4904181098
252	0.4901336458
253	0.490065606
254	0.4899832084
255	0.4899033223
256	0.4898226302
257	0.4896868295
258	0.4896060817
259	0.4895292799
260	0.4894105673
261	0.4892686065
262	0.4890645871
263	0.4890053554
264	0.4888581094
265	0.4887582521
266	0.4886370346
267	0.4885190001
268	0.4883636329
269	0.4882377724
270	0.4881580666
271	0.488090636
272	0.4879639889
273	0.4878860353
274	0.4878105247
275	0.4876984379
276	0.4875956597
277	0.4874703015
278	0.4873561592
279	0.4872195759
280	0.4870502207
281	0.4869674229
282	0.4867853637
283	0.486639228
284	0.486509586
285	0.4864148451
286	0.486315427
287	0.4861699474
288	0.4860459759
289	0.4859193779
290	0.4858790859
291	0.4857920307
292	0.4856391602
293	0.4855657645
294	0.4854712891
295	0.4854105932
296	0.4852604677
297	0.4851762927
298	0.4850279523
299	0.4848806977
300	0.4847157292
301	0.4845268766
302	0.4844424661
303	0.4842889655
304	0.4841298705
305	0.4839246418
306	0.4837580253
307	0.4836570045
308	0.4834808463
309	0.4833524452
310	0.4832151184
311	0.4831318956
312	0.483028992
313	0.4829314712
314	0.4827846873
315	0.482666998
316	0.4825409961
317	0.4824380532
318	0.4823173333
319	0.4821683192
320	0.4820457823
321	0.4818710424
322	0.4817404845
323	0.4816138684
324	0.4815088943
325	0.4813766937
326	0.4812229855
327	0.4810486988
328	0.4809199603
329	0.4807854186
330	0.4806309038
331	0.4805174518
332	0.4804226073
333	0.4803319327
334	0.4801793852
335	0.4800536834
336	0.4799618561
337	0.4797785421
338	0.4796820977
339	0.4795384556
340	0.4793487503
