iter	Passed	Remaining
0	16	16412
1	34	17189
2	51	17177
3	68	17082
4	82	16451
5	97	16220
6	116	16518
7	134	16683
8	150	16604
9	166	16460
10	184	16553
11	201	16630
12	218	16588
113	249	17546114	267	17551115	283	17413116	300	17357117	315	17198118	334	17272119	353	17311220	373	17405221	388	17283222	404	17172223	417	16958224	430	16803225	444	16660226	461	16617227	479	16630228	496	16616229	512	16560330	529	16537331	547	16547332	567	16619333	583	16579334	596	16456335	614	16452336	629	16374337	647	16380338	664	16376339	681	16347440	697	16315441	715	16327
42	731	16276443	746	16220444	762	16182445	777	16123446	794	16100447	808	16030448	823	15990449	841	15983550	856	15945551	875	15957552	892	15947553	906	1588354	902	15498
55	918	15483
56	934	15452
57	950	15436
58	966	15421
59	983	15413
60	1001	15412
61	1013	15336
62	1028	15295
63	1046	15302
64	1062	15284
65	1077	15253
66	1095	15254
67	1114	15272
68	1130	15259
69	1149	15266
70	1167	15271
71	1186	15288
72	1199	15229
73	1212	15175
74	1227	15135
75	1245	15137
76	1258	15086
77	1274	15069
78	1289	15035
79	1308	15052
80	1323	15013
81	1342	15029
82	1357	14998
83	1371	14958
84	1387	14937
885	1422	15119886	1441	15125887	1457	15104888	1476	15116889	1491	15083990	1508	15071991	1528	15081992	1544	15062993	1560	15043994	1576	15019995	1593	15000996	1608	1496997	1605	14772
998	1640	14930999	1656	149101100	1676	149221101	1693	149121102	1706	148631103	1723	14849104	1721	14676
105	1738	14658
106	1754	14642
107	1772	14640
108	1791	14645
109	1810	14645
110	1828	14641
111	1847	14646
112	1867	14662
113	1885	14653
114	1900	14628
115	1917	14609
116	1934	14597
117	1952	14592
118	1967	14567
119	1983	14548
120	2001	14539
121	2015	14507
122	2030	14477
123	2046	14460
124	2063	14441
125	2078	14418
126	2093	14389
127	2111	14387
128	2129	14378
129	2145	14358
130	2162	14346
131	2177	14318
132	2193	14296
133	2208	14270
134	2225	14258
135	2241	14242
136	2256	14216
137	2274	14205
138	2290	14188
139	2307	14174
140	2325	14169
141	2341	14146
142	2355	14116
143	2369	14083
144	2378	14023
1145	2417	14141146	2412	13997
147	2429	13983
148	2445	13967
149	2460	13941
1150	2498	140451151	2515	140311152	2529	14003153	2525	13875
154	2540	13851
155	2556	13830
156	2572	13810
1157	2612	139221158	2630	139111159	2645	138891160	2660	138651161	2675	13839162	2668	13702
163	2686	13695
164	2702	13675
165	2718	13657
166	2735	13644
1167	2776	137481168	2791	137251169	2807	13706170	2800	13575
171	2816	13558
172	2831	13536
173	2848	13519
1174	2887	13614175	2881	13488
176	2896	13466
1177	2938	13568178	2929	13437
179	2944	13415
180	2961	13398
1181	3001	13491182	2995	13371
183	3012	13361
184	3031	13353
185	3052	13357
186	3066	13331
187	3081	13311
188	3099	13298
189	3116	13284
190	3131	13262
191	3145	13237
1192	3186	133241193	3202	133051194	3219	13292195	3211	13174
1196	3252	13259197	3244	13142
198	3259	13120
199	3275	13101
200	3294	13097
2201	3333	131702202	3347	131412203	3364	13127204	3355	13013
2205	3396	13090206	3391	12992
207	3408	12977
208	3425	12964
209	3447	12968
210	3467	12964
211	3482	12943
212	3499	12930
213	3515	12911
214	3531	12894
215	3548	12878
216	3566	12867
217	3579	12838
218	3596	12825
219	3609	12798
2220	3650	128662221	3664	128432222	3682	128322223	3699	128172224	3712	127862225	3728	127682226	3744	127502227	3762	127382228	3776	127162229	3792	126952230	3810	126832231	3829	126762232	3848	126672233	3866	126562234	3884	126462235	3904	126382236	3920	126222237	3934	125952238	3950	125782239	3968	125682240	3982	125422241	3997	125202242	4012	124992243	4029	124862244	4047	124712245	4063	124552246	4079	124372247	4098	124262248	4116	124152249	4134	124022250	4152	12390
251	4166	123682252	4184	12356
253	4201	12340
254	4218	12325
255	4232	12300
256	4248	122822257	4262	122592258	4278	122422259	4296	122272260	4314	12215
261	4329	12193
262	4345	12176
263	4362	12163
264	4378	12144
265	4395	12127
266	4409	12105
267	4424	12084
268	4440	12066
269	4462	12064
270	4480	12053
271	4494	12029
272	4514	12022
273	4530	12004
274	4545	11982
275	4560	11963
276	4577	11948
277	4594	11931
278	4612	11918
279	4625	11894
280	4642	11877
281	4658	11861
282	4677	11849
283	4692	11830
284	4708	11812
285	4724	11793
286	4739	11773
287	4754	11754
288	4769	11735
289	4789	11726
290	4806	11709
291	4821	11689
292	4836	11671
293	4852	11652
294	4871	11641
295	4886	11621
296	4899	11597
297	4914	11576
298	4933	11565
299	4951	11553
300	4969	11539
301	4985	11521
302	5002	11508
303	5017	11488
304	5034	11472
305	5050	11455
306	5063	11430
307	5075	11404
308	5088	11378
309	5103	11358
310	5119	11341
311	5137	11328
312	5150	11305
313	5166	11286
314	5186	11277
315	5199	112543316	5215	112373317	5233	112233318	5248	112053319	5266	111903320	5283	111763321	5301	111623322	5313	111373323	5329	111203324	5346	111033325	5364	110913326	5381	110753327	5395	110533328	5413	110403329	5428	110213330	5444	110053331	5458	10983332	5459	10935
3333	5492	109513334	5508	109343335	5526	109213336	5543	109063337	5560	108913338	5576	108743339	5629	109283340	5656	10932341	5662	10895
342	5690	10899
343	5703	10876
3344	5749	109153345	5768	109033346	5783	108843347	5801	108693348	5823	108633349	5841	10848
350	5855	108273351	5875	10817
352	5892	10800
353	5906	10778
354	5922	107613355	5941	10747
356	5956	107283357	5974	10714
358	5993	10700
359	6008	106823360	6025	10666
361	6042	10649
362	6058	10631
363	6074	106133364	6087	105903365	6104	105733366	6121	105583367	6137	105403368	6154	105243369	6170	105063370	6185	104873371	6202	104703372	6214	104473373	6230	104283374	6246	104103375	6262	103933376	6280	103783377	6296	103613378	6309	103393379	6327	103233380	6346	103113381	6364	102963382	6381	102803383	6393	102563384	6404	102313385	6415	102053386	6427	101813387	6443	101633388	6462	101513389	6478	101323390	6492	10112391	6488	10064
392	6506	10050
393	6524	10035
394	6541	10018
395	6556	9999
396	6571	9981
397	6590	9968
398	6603	9947
399	6620	9930
400	6635	9911
401	6654	9899
402	6670	9882
403	6686	9864
404	6702	9846
405	6719	9830
406	6734	9812
407	6752	9797
408	6769	9782
409	6787	9767
410	6802	9749
411	6819	9732
412	6836	9717
413	6853	9700
414	6869	9683
415	6884	9665
416	6899	9645
417	6911	9623
418	6929	9608
419	6944	9589
420	6960	9572
421	6976	9555
422	6993	9539
423	7010	9523
424	7027	9507
425	7045	9493
426	7060	9474
427	7078	9460
428	7093	9441
429	7107	9421
430	7124	9405
431	7141	9389
432	7156	9371
433	7172	9353
434	7187	9336
435	7208	9324
436	7220	9302
437	7237	9286
438	7252	9268
439	7267	9250
440	7285	9235
441	7303	9220
442	7319	9203
443	7337	9188
444	7355	9173
445	7371	9156
446	7385	9137
447	7403	9122
448	7419	9105
449	7437	9089
450	7455	9075
451	7473	9060
452	7492	9046
453	7508	9030
454	7527	9016
455	7545	9001
456	7563	8986
457	7584	8975
458	7598	8956
459	7616	8941
460	7629	8920
461	7652	8910
462	7666	8891
463	7683	8875
464	7701	8861
465	7712	8837
466	7723	8814
467	7734	8791
468	7747	8771
469	7765	8757
470	7780	8739
471	7797	8722
472	7813	8705
473	7827	8685
474	7846	8672
475	7863	8656
476	7877	8637
477	7893	8619
478	7910	8603
479	7926	8586
480	7942	8569
481	7958	8552
482	7973	8534
483	7988	8516
484	8002	8497
485	8014	8476
486	8030	8458
487	8044	8440
488	8059	8422
489	8077	8407
490	8091	8387
491	8104	8368
492	8119	8349
493	8135	8333
494	8147	8312
495	8162	8293
496	8176	8275
497	8193	8259
498	8209	8241
499	8225	8225
500	8242	8209
501	8258	8192
502	8272	8174
503	8288	8157
504	8303	8139
505	8319	8121
506	8335	8105
