Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std,CV ROC-AUC Mean,CV ROC-AUC Std
1D-CNN,0.758694109297374,0.5357142857142857,0.6818181818181818,0.6,0.8219664677465188,,,,
ANN,0.7480482611781405,0.5185185185185185,0.7112299465240641,0.5997745208568207,0.8230489033558086,,,,
Soft Voting (XGB+LGBM+CatBoost),0.7402413058907026,0.5078740157480315,0.6898395721925134,0.5850340136054422,0.8023043736598724,0.7904088766291577,0.007300248632707123,0.871795738630888,0.004415698936223132
LightGBM,0.7388218594748048,0.5055762081784386,0.7272727272727273,0.5964912280701754,0.8083598129633934,0.7733750018243647,0.006288010798587523,0.8541519832036929,0.005318257310357256
Ensemble Deep Learning (DFE+LFE),0.7345635202271115,0.0,0.0,0.0,0.7878038699010567,,,,
CatBoost,0.7324343506032647,0.4973730297723292,0.7593582887700535,0.6010582010582011,0.8238484590146995,0.7454709050308683,0.00667395130230349,0.8303849976054096,0.004363594412289954
Random Forest (Optuna),0.7324343506032647,0.4970414201183432,0.6737967914438503,0.5720771850170261,0.7992069027874654,0.7811061488389742,0.004612734938308915,0.8663195000903456,0.004514765136301555
Random Forest,0.7310149041873669,0.49521988527724664,0.6925133689839572,0.5774804905239688,0.8046733317833062,0.7728924208590569,0.004433462460329337,0.8570320161011971,0.004884170574376349
XGBoost,0.7288857345635202,0.4928571428571429,0.7379679144385026,0.5910064239828694,0.8064558629776021,0.7731346235240889,0.005683718452478962,0.8536874207076772,0.003913304239379184
SVM,0.7274662881476224,0.4914383561643836,0.767379679144385,0.5991649269311065,0.8050517967397761,0.7215518776362071,0.006842965385620589,0.7947667059965898,0.003223788343331181
Logistic Regression,0.71611071682044,0.4772727272727273,0.7299465240641712,0.5771670190274841,0.8099511741455475,0.715752805872995,0.009283341779881426,0.8016250719639956,0.0015053336237585715
XGBoost (Optuna),0.7146912704045423,0.4714285714285714,0.6176470588235294,0.5347222222222222,0.7690666253326099,0.7860597369995768,0.005760392417691604,0.8661312821947253,0.005445428452958897
Decision Tree,0.7026259758694109,0.46365105008077545,0.767379679144385,0.5780463242698892,0.7916724792683872,0.7423301516411984,0.009095250101713456,0.8217780127216512,0.01066170956172411
KNN,0.7026259758694109,0.4582560296846011,0.660427807486631,0.5410733844468785,0.759756129065592,0.7949997810762292,0.007540977294824358,0.8725103245987154,0.007493144903642998
Naive Bayes,0.6834634492547906,0.4482758620689655,0.8342245989304813,0.5831775700934579,0.7859722545144541,0.7022237546886174,0.005928239108688749,0.769040159599288,0.0014530323678563692
